timestamp,price_eur_mwh
2026-03-22T06:00:00Z,84.71
2026-03-22T07:00:00Z,41.33
2026-03-22T08:00:00Z,6.77
2026-03-22T09:00:00Z,-0.43
2026-03-22T10:00:00Z,-4.36
2026-03-22T11:00:00Z,-11.76
2026-03-22T12:00:00Z,-10.31
2026-03-22T13:00:00Z,-2.18
2026-03-22T14:00:00Z,11.25
2026-03-22T15:00:00Z,93.15
2026-03-22T16:00:00Z,145.64
2026-03-22T17:00:00Z,174.19
2026-03-22T18:00:00Z,173.38
2026-03-22T19:00:00Z,164.73
2026-03-22T20:00:00Z,155.38
2026-03-22T21:00:00Z,146.8
2026-03-22T22:00:00Z,143.51
2026-03-22T23:00:00Z,131.14
2026-03-23T00:00:00Z,125.9
2026-03-23T01:00:00Z,125.16
2026-03-23T02:00:00Z,128.59
2026-03-23T03:00:00Z,138.27
2026-03-23T04:00:00Z,155.72
2026-03-23T05:00:00Z,182.29
2026-03-23T06:00:00Z,186.19
2026-03-23T07:00:00Z,147.61
2026-03-23T08:00:00Z,108.0
2026-03-23T09:00:00Z,81.43
2026-03-23T10:00:00Z,48.08
2026-03-23T11:00:00Z,49.26
2026-03-23T12:00:00Z,74.88
2026-03-23T13:00:00Z,94.98
2026-03-23T14:00:00Z,114.45
2026-03-23T15:00:00Z,138.54
2026-03-23T16:00:00Z,190.78
2026-03-23T17:00:00Z,263.01
2026-03-23T18:00:00Z,241.56
2026-03-23T19:00:00Z,206.59
2026-03-23T20:00:00Z,177.32
2026-03-23T21:00:00Z,155.74
2026-03-23T22:00:00Z,140.45
2026-03-23T23:00:00Z,141.06
2026-03-24T00:00:00Z,124.32
2026-03-24T01:00:00Z,110.0
2026-03-24T02:00:00Z,101.64
2026-03-24T03:00:00Z,100.38
2026-03-24T04:00:00Z,100.97
2026-03-24T05:00:00Z,110.82
2026-03-24T06:00:00Z,113.05
2026-03-24T07:00:00Z,97.46
2026-03-24T08:00:00Z,70.91
2026-03-24T09:00:00Z,23.73
2026-03-24T10:00:00Z,1.2
2026-03-24T11:00:00Z,-0.01
2026-03-24T12:00:00Z,-0.02
2026-03-24T13:00:00Z,0.0
2026-03-24T14:00:00Z,20.0
2026-03-24T15:00:00Z,77.43
2026-03-24T16:00:00Z,112.84
2026-03-24T17:00:00Z,135.84
2026-03-24T18:00:00Z,137.99
2026-03-24T19:00:00Z,101.1
2026-03-24T20:00:00Z,74.5
2026-03-24T21:00:00Z,66.1
2026-03-24T22:00:00Z,22.1
